#Seq	Start	Stop	Strand	Feature	mRNA
1_10	44764079	44767048	+	mRNA	1_1_BolK_5g45170.1
1_10	44766514	44766759	+	CDS	1_1_BolK_5g45170.1
1_10	44766226	44766425	+	exon	1_1_BolK_5g45170.1
1_10	44766226	44766425	+	CDS	1_1_BolK_5g45170.1
1_10	44764079	44764625	+	exon	1_1_BolK_5g45170.1
1_10	44765614	44766148	+	CDS	1_1_BolK_5g45170.1
1_10	44764566	44764625	+	CDS	1_1_BolK_5g45170.1
1_10	44765614	44766148	+	exon	1_1_BolK_5g45170.1
1_10	44766514	44767048	+	exon	1_1_BolK_5g45170.1
3_5	42349213	42351406	+	mRNA	3_1_BroT25.C05g39260.1
3_5	42349213	42349272	+	CDS	3_1_BroT25.C05g39260.1
3_5	42351161	42351406	+	CDS	3_1_BroT25.C05g39260.1
3_5	42349213	42349272	+	exon	3_1_BroT25.C05g39260.1
3_5	42351161	42351406	+	exon	3_1_BroT25.C05g39260.1
3_5	42350873	42351072	+	CDS	3_1_BroT25.C05g39260.1
3_5	42350261	42350795	+	CDS	3_1_BroT25.C05g39260.1
3_5	42350261	42350795	+	exon	3_1_BroT25.C05g39260.1
3_5	42350873	42351072	+	exon	3_1_BroT25.C05g39260.1
4_5	37780778	37782971	+	mRNA	4_1_BroT21.C05g37950.1
4_5	37780778	37780837	+	CDS	4_1_BroT21.C05g37950.1
4_5	37782438	37782637	+	CDS	4_1_BroT21.C05g37950.1
4_5	37781826	37782360	+	exon	4_1_BroT21.C05g37950.1
4_5	37781826	37782360	+	CDS	4_1_BroT21.C05g37950.1
4_5	37782438	37782637	+	exon	4_1_BroT21.C05g37950.1
4_5	37782726	37782971	+	CDS	4_1_BroT21.C05g37950.1
4_5	37782726	37782971	+	exon	4_1_BroT21.C05g37950.1
4_5	37780778	37780837	+	exon	4_1_BroT21.C05g37950.1
2_5	42033283	42035476	+	mRNA	2_1_caul5G04204.1
2_5	42033283	42033342	+	CDS	2_1_caul5G04204.1
2_5	42033283	42033342	+	exon	2_1_caul5G04204.1
2_5	42034331	42034865	+	exon	2_1_caul5G04204.1
2_5	42034331	42034865	+	CDS	2_1_caul5G04204.1
2_5	42034943	42035142	+	exon	2_1_caul5G04204.1
2_5	42035231	42035476	+	CDS	2_1_caul5G04204.1
2_5	42034943	42035142	+	CDS	2_1_caul5G04204.1
2_5	42035231	42035476	+	exon	2_1_caul5G04204.1
