# BLASTP 2.17.0+
# Query: BroT22.C08g39200.1
# Database: Araport11_prot_db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
BroT22.C08g39200.1	AT2G25930.1	57.263	716	146	29	1	582	1	690	0.0	575
BroT22.C08g39200.1	AT3G21320.1	25.440	625	321	21	5	580	5	533	1.02e-31	129
BroT22.C08g39200.1	AT3G51910.1	48.485	33	17	0	481	513	151	183	0.25	33.5
BroT22.C08g39200.1	AT3G28470.1	27.419	62	43	2	282	342	232	292	5.6	29.3
BroT22.C08g39200.1	AT5G43710.1	30.667	75	34	4	142	204	445	513	5.6	29.6
BroT22.C08g39200.1	AT5G61300.1	32.432	37	19	1	232	268	40	70	6.4	29.3
BroT22.C08g39200.1	AT3G13290.1	33.333	75	37	2	426	491	13	83	7.1	29.3
BroT22.C08g39200.1	AT4G29700.1	46.429	28	12	1	428	452	97	124	7.5	29.3
BroT22.C08g39200.1	AT4G27430.1	34.146	41	27	0	396	436	287	327	8.4	29.3
BroT22.C08g39200.1	AT3G59550.1	28.070	57	37	1	250	302	58	114	8.7	28.9
BroT22.C08g39200.1	AT5G67390.1	29.412	34	24	0	232	265	14	47	9.7	28.1
# BLASTP 2.17.0+
# Query: BroT21.C08g41890.1
# Database: Araport11_prot_db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
BroT21.C08g41890.1	AT2G25930.1	57.263	716	146	29	1	582	1	690	0.0	575
BroT21.C08g41890.1	AT3G21320.1	25.440	625	321	21	5	580	5	533	1.02e-31	129
BroT21.C08g41890.1	AT3G51910.1	48.485	33	17	0	481	513	151	183	0.25	33.5
BroT21.C08g41890.1	AT3G28470.1	27.419	62	43	2	282	342	232	292	5.6	29.3
BroT21.C08g41890.1	AT5G43710.1	30.667	75	34	4	142	204	445	513	5.6	29.6
BroT21.C08g41890.1	AT5G61300.1	32.432	37	19	1	232	268	40	70	6.4	29.3
BroT21.C08g41890.1	AT3G13290.1	33.333	75	37	2	426	491	13	83	7.1	29.3
BroT21.C08g41890.1	AT4G29700.1	46.429	28	12	1	428	452	97	124	7.5	29.3
BroT21.C08g41890.1	AT4G27430.1	34.146	41	27	0	396	436	287	327	8.4	29.3
BroT21.C08g41890.1	AT3G59550.1	28.070	57	37	1	250	302	58	114	8.7	28.9
BroT21.C08g41890.1	AT5G67390.1	29.412	34	24	0	232	265	14	47	9.7	28.1
# BLASTP 2.17.0+
# Query: BroT25.C08g38180.1
# Database: Araport11_prot_db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
BroT25.C08g38180.1	AT2G25930.1	57.263	716	146	29	1	582	1	690	0.0	575
BroT25.C08g38180.1	AT3G21320.1	25.440	625	321	21	5	580	5	533	1.02e-31	129
BroT25.C08g38180.1	AT3G51910.1	48.485	33	17	0	481	513	151	183	0.25	33.5
BroT25.C08g38180.1	AT3G28470.1	27.419	62	43	2	282	342	232	292	5.6	29.3
BroT25.C08g38180.1	AT5G43710.1	30.667	75	34	4	142	204	445	513	5.6	29.6
BroT25.C08g38180.1	AT5G61300.1	32.432	37	19	1	232	268	40	70	6.4	29.3
BroT25.C08g38180.1	AT3G13290.1	33.333	75	37	2	426	491	13	83	7.1	29.3
BroT25.C08g38180.1	AT4G29700.1	46.429	28	12	1	428	452	97	124	7.5	29.3
BroT25.C08g38180.1	AT4G27430.1	34.146	41	27	0	396	436	287	327	8.4	29.3
BroT25.C08g38180.1	AT3G59550.1	28.070	57	37	1	250	302	58	114	8.7	28.9
BroT25.C08g38180.1	AT5G67390.1	29.412	34	24	0	232	265	14	47	9.7	28.1
# BLASTP 2.17.0+
# Query: caul8G04351.1
# Database: Araport11_prot_db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
caul8G04351.1	AT2G25930.1	57.263	716	146	29	1	582	1	690	0.0	575
caul8G04351.1	AT3G21320.1	25.440	625	321	21	5	580	5	533	1.02e-31	129
caul8G04351.1	AT3G51910.1	48.485	33	17	0	481	513	151	183	0.25	33.5
caul8G04351.1	AT3G28470.1	27.419	62	43	2	282	342	232	292	5.6	29.3
caul8G04351.1	AT5G43710.1	30.667	75	34	4	142	204	445	513	5.6	29.6
caul8G04351.1	AT5G61300.1	32.432	37	19	1	232	268	40	70	6.4	29.3
caul8G04351.1	AT3G13290.1	33.333	75	37	2	426	491	13	83	7.1	29.3
caul8G04351.1	AT4G29700.1	46.429	28	12	1	428	452	97	124	7.5	29.3
caul8G04351.1	AT4G27430.1	34.146	41	27	0	396	436	287	327	8.4	29.3
caul8G04351.1	AT3G59550.1	28.070	57	37	1	250	302	58	114	8.7	28.9
caul8G04351.1	AT5G67390.1	29.412	34	24	0	232	265	14	47	9.7	28.1
# BLASTP 2.17.0+
# Query: caul3G04815.1
# Database: Araport11_prot_db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 10 hits found
caul3G04815.1	AT3G21320.1	75.529	331	76	2	2	329	208	536	5.30e-176	498
caul3G04815.1	AT2G25930.1	28.109	402	170	13	26	329	311	691	2.31e-29	118
caul3G04815.1	AT5G61300.1	40.741	27	16	0	48	74	39	65	0.69	31.6
caul3G04815.1	AT5G67390.1	37.500	32	20	0	48	79	13	44	1.8	29.3
caul3G04815.1	AT3G15120.2	40.625	32	19	0	251	282	508	539	3.6	29.3
caul3G04815.1	AT3G02610.2	28.000	125	65	4	198	306	23	138	4.1	28.9
caul3G04815.1	AT1G56520.2	35.000	40	26	0	63	102	537	576	6.0	28.5
caul3G04815.1	AT3G02620.2	28.205	117	67	4	198	306	24	131	6.5	28.1
caul3G04815.1	AT4G33200.4	32.203	59	29	1	70	117	793	851	7.2	28.5
caul3G04815.1	AT5G41110.1	32.000	50	31	1	71	117	139	188	8.2	28.1
# BLASTP 2.17.0+
# Query: BroT22.C03g46310.1
# Database: Araport11_prot_db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
BroT22.C03g46310.1	AT3G21320.1	65.872	545	123	11	1	491	1	536	0.0	648
BroT22.C03g46310.1	AT2G25930.1	28.109	402	170	13	188	491	311	691	7.98e-29	120
BroT22.C03g46310.1	AT2G25930.1	32.000	75	34	4	5	66	5	75	0.58	32.3
BroT22.C03g46310.1	AT5G61300.1	40.741	27	16	0	210	236	39	65	0.94	32.0
BroT22.C03g46310.1	AT5G67390.1	37.500	32	20	0	210	241	13	44	2.3	29.6
BroT22.C03g46310.1	AT2G45220.1	26.471	68	49	1	111	178	118	184	3.2	30.0
