#Seq	Start	Stop	Strand	Feature	mRNA
4_3	2320269	2323405	-	mRNA	4_1_BroT21.C03g04510.1
4_3	2321992	2322049	-	exon	4_1_BroT21.C03g04510.1
4_3	2320915	2320956	-	exon	4_1_BroT21.C03g04510.1
4_3	2320269	2320373	-	CDS	4_1_BroT21.C03g04510.1
4_3	2320269	2320373	-	exon	4_1_BroT21.C03g04510.1
4_3	2323221	2323405	-	exon	4_1_BroT21.C03g04510.1
4_3	2321191	2321232	-	exon	4_1_BroT21.C03g04510.1
4_3	2321992	2322049	-	CDS	4_1_BroT21.C03g04510.1
4_3	2320915	2320956	-	CDS	4_1_BroT21.C03g04510.1
4_3	2321499	2321560	-	exon	4_1_BroT21.C03g04510.1
4_3	2321313	2321412	-	exon	4_1_BroT21.C03g04510.1
4_3	2321191	2321232	-	CDS	4_1_BroT21.C03g04510.1
4_3	2321499	2321560	-	CDS	4_1_BroT21.C03g04510.1
4_3	2321313	2321412	-	CDS	4_1_BroT21.C03g04510.1
4_3	2323221	2323405	-	CDS	4_1_BroT21.C03g04510.1
2_3	2304788	2307924	-	mRNA	2_1_caul3G00449.1
2_3	2306511	2306568	-	CDS	2_1_caul3G00449.1
2_3	2304788	2304892	-	exon	2_1_caul3G00449.1
2_3	2307740	2307924	-	CDS	2_1_caul3G00449.1
2_3	2305434	2305475	-	CDS	2_1_caul3G00449.1
2_3	2306511	2306568	-	exon	2_1_caul3G00449.1
2_3	2305832	2305931	-	CDS	2_1_caul3G00449.1
2_3	2306018	2306079	-	CDS	2_1_caul3G00449.1
2_3	2305832	2305931	-	exon	2_1_caul3G00449.1
2_3	2305710	2305751	-	exon	2_1_caul3G00449.1
2_3	2305434	2305475	-	exon	2_1_caul3G00449.1
2_3	2304788	2304892	-	CDS	2_1_caul3G00449.1
2_3	2307740	2307924	-	exon	2_1_caul3G00449.1
2_3	2305710	2305751	-	CDS	2_1_caul3G00449.1
2_3	2306018	2306079	-	exon	2_1_caul3G00449.1
3_3	2227699	2230772	-	mRNA	3_1_BroT25.C03g04360.1
3_3	2228295	2228336	-	CDS	3_1_BroT25.C03g04360.1
3_3	2230588	2230772	-	CDS	3_1_BroT25.C03g04360.1
3_3	2228571	2228612	-	exon	3_1_BroT25.C03g04360.1
3_3	2227699	2227803	-	CDS	3_1_BroT25.C03g04360.1
3_3	2228879	2228940	-	exon	3_1_BroT25.C03g04360.1
3_3	2229372	2229429	-	CDS	3_1_BroT25.C03g04360.1
3_3	2228571	2228612	-	CDS	3_1_BroT25.C03g04360.1
3_3	2228879	2228940	-	CDS	3_1_BroT25.C03g04360.1
3_3	2230588	2230772	-	exon	3_1_BroT25.C03g04360.1
3_3	2229372	2229429	-	exon	3_1_BroT25.C03g04360.1
3_3	2227699	2227803	-	exon	3_1_BroT25.C03g04360.1
3_3	2228693	2228792	-	exon	3_1_BroT25.C03g04360.1
3_3	2228693	2228792	-	CDS	3_1_BroT25.C03g04360.1
3_3	2228295	2228336	-	exon	3_1_BroT25.C03g04360.1
1_3	2600444	2603957	-	mRNA	1_1_BolK_3g05260.2
1_3	2601707	2601806	-	CDS	1_1_BolK_3g05260.2
1_3	2602386	2602443	-	CDS	1_1_BolK_3g05260.2
1_3	2601309	2601350	-	CDS	1_1_BolK_3g05260.2
1_3	2600444	2600768	-	exon	1_1_BolK_3g05260.2
1_3	2603615	2603957	-	exon	1_1_BolK_3g05260.2
1_3	2601707	2601806	-	exon	1_1_BolK_3g05260.2
1_3	2601309	2601350	-	exon	1_1_BolK_3g05260.2
1_3	2602386	2602443	-	exon	1_1_BolK_3g05260.2
1_3	2601585	2601626	-	CDS	1_1_BolK_3g05260.2
1_3	2603615	2603799	-	CDS	1_1_BolK_3g05260.2
1_3	2601893	2601954	-	CDS	1_1_BolK_3g05260.2
1_3	2601585	2601626	-	exon	1_1_BolK_3g05260.2
1_3	2601893	2601954	-	exon	1_1_BolK_3g05260.2
1_3	2600664	2600768	-	CDS	1_1_BolK_3g05260.2
