#Seq	Start	Stop	Strand	Feature	mRNA
3_9	59463989	59468005	+	mRNA	3_1_BroT25.C09g53090.1
3_9	59463989	59464173	+	CDS	3_1_BroT25.C09g53090.1
3_9	59467901	59468005	+	CDS	3_1_BroT25.C09g53090.1
3_9	59463989	59464173	+	exon	3_1_BroT25.C09g53090.1
3_9	59467088	59467149	+	CDS	3_1_BroT25.C09g53090.1
3_9	59467901	59468005	+	exon	3_1_BroT25.C09g53090.1
3_9	59467679	59467720	+	CDS	3_1_BroT25.C09g53090.1
3_9	59467228	59467327	+	CDS	3_1_BroT25.C09g53090.1
3_9	59466598	59466655	+	CDS	3_1_BroT25.C09g53090.1
3_9	59466598	59466655	+	exon	3_1_BroT25.C09g53090.1
3_9	59467413	59467454	+	CDS	3_1_BroT25.C09g53090.1
3_9	59467088	59467149	+	exon	3_1_BroT25.C09g53090.1
3_9	59467679	59467720	+	exon	3_1_BroT25.C09g53090.1
3_9	59467413	59467454	+	exon	3_1_BroT25.C09g53090.1
3_9	59467228	59467327	+	exon	3_1_BroT25.C09g53090.1
4_9	59506540	59508394	+	mRNA	4_1_BroT21.C09g54420.1
4_9	59506540	59506562	+	CDS	4_1_BroT21.C09g54420.1
4_9	59506540	59506562	+	exon	4_1_BroT21.C09g54420.1
4_9	59507477	59507538	+	CDS	4_1_BroT21.C09g54420.1
4_9	59506987	59507044	+	CDS	4_1_BroT21.C09g54420.1
4_9	59507617	59507716	+	exon	4_1_BroT21.C09g54420.1
4_9	59508290	59508394	+	exon	4_1_BroT21.C09g54420.1
4_9	59507802	59507843	+	CDS	4_1_BroT21.C09g54420.1
4_9	59506987	59507044	+	exon	4_1_BroT21.C09g54420.1
4_9	59507802	59507843	+	exon	4_1_BroT21.C09g54420.1
4_9	59507477	59507538	+	exon	4_1_BroT21.C09g54420.1
4_9	59508068	59508109	+	exon	4_1_BroT21.C09g54420.1
4_9	59508290	59508394	+	CDS	4_1_BroT21.C09g54420.1
4_9	59507617	59507716	+	CDS	4_1_BroT21.C09g54420.1
4_9	59508068	59508109	+	CDS	4_1_BroT21.C09g54420.1
1_8	60528481	60533205	+	mRNA	1_1_BolK_9g63770.2
1_8	60532010	60532051	+	CDS	1_1_BolK_9g63770.2
1_8	60532498	60532578	+	exon	1_1_BolK_9g63770.2
1_8	60531195	60531252	+	exon	1_1_BolK_9g63770.2
1_8	60531825	60531924	+	exon	1_1_BolK_9g63770.2
1_8	60531825	60531924	+	CDS	1_1_BolK_9g63770.2
1_8	60531685	60531746	+	exon	1_1_BolK_9g63770.2
1_8	60532748	60533205	+	exon	1_1_BolK_9g63770.2
1_8	60532276	60532317	+	exon	1_1_BolK_9g63770.2
1_8	60532276	60532317	+	CDS	1_1_BolK_9g63770.2
1_8	60528481	60528769	+	exon	1_1_BolK_9g63770.2
1_8	60528585	60528769	+	CDS	1_1_BolK_9g63770.2
1_8	60531195	60531252	+	CDS	1_1_BolK_9g63770.2
1_8	60532010	60532051	+	exon	1_1_BolK_9g63770.2
1_8	60531685	60531746	+	CDS	1_1_BolK_9g63770.2
1_8	60532498	60532578	+	CDS	1_1_BolK_9g63770.2
1_8	60532748	60533161	+	CDS	1_1_BolK_9g63770.2
